1793_1796

jehla  H  V  první pin       vst. SIG     UZEL
----- ------ ------------    --------     -------------------
P187  -  ^   (****, ****)    IN:   **     2:ZOSC
P304  -  v   (16.0, 38.0)    IN:  272     2:SIGN535 —>§311
P315  -  -   (14.0, 37.0)    IN:  115     2:SIGN546 —>§322
P294  -  -   (20.0, 51.0)    IN:  675     2:SIGN524 —>§301
P318  -  -   (14.0, 48.0)    IN:  126     2:SIGN551 —>§325
P321  -  ^   (14.5, 48.0)    IN:  204     2:SIGN554 —>§328
P312  -  -   (14.0, 36.0)    IN:  114     2:SIGN543 —>§319
P310  >  v   (14.5, 37.0)    IN:  193     2:SIGN541 —>§317
P217  >> -   (20.5, 34.0)    IN:  736     2:SIGN384 —>§224
P364  >  -   (13.0, 49.0)    IN:   49     1:M —>§178
P205  >  ^^  (20.0, 14.0)    IN:  638     2:SIGN357 —>§212
P212  >  -   (20.5, 18.0)    IN:  720     2:SIGN366 —>§219
P360  -  vv  (20.5, 46.0)    IN:  748     2:P12V —>§364
P343  >> ^   (20.5,  7.0)    IN:  709     2:SIGN415 —>§350
P240  << ^^  (20.5, 74.0)    IN:  776     2:SIGN417 —>§247
P358  >  v   (20.5, 46.0)    IN:  748     2:P12V —>§364
P274  -  ^^  (20.0, 76.0)    IN:  700     2:SIGN451 —>§281
P305  -  vv  (20.0, 55.0)    IN:  679     2:SIGN536 —>§312
P354  -  ^   (20.0, 48.0)    IN:  672     2:P3V3 —>§360
P307  -  ^   (14.0, 61.0)    IN:  139     2:SIGN538 —>§314
P317  -  vv  (23.0, 42.0)    IN:  978     2:SIGN550 —>§324
P316  -  ^   (16.0, 53.0)    IN:  287     2:SIGN549 —>§323
P306  -  ^   (16.0, 63.0)    IN:  297     2:SIGN537 —>§313
P188  >  -   (****, ****)    IN:   **     2:ZOSC
P329  -  ^   (14.0, 38.0)    IN:  116     2:THY_L3_SPGNULL —>§336
P191  -  -   (16.5, 37.0)    IN:50037     2:BP_EIN —>§198
P320  -  vv  (14.5, 49.0)    IN:  205     2:SIGN553 —>§327
P327  >  -   (14.0, 35.0)    IN:  113     2:T_START —>§334
P369  -  ^   (13.0, 49.0)    IN:   49     1:M —>§178
P218  >> ^^  (20.0,  9.0)    IN:  633     2:SIGN385 —>§225
P203  >  vv  (20.5, 15.0)    IN:  717     2:SIGN354 —>§210
P204  >  -   (20.0, 27.0)    IN:  651     2:SIGN355 —>§211
P342  >> -   (20.5,  8.0)    IN:  710     2:SIGN415 —>§349
P359  << ^^  (20.5, 46.0)    IN:  748     2:P12V —>§364
P280  -  -   (21.5,  8.0)    IN:  866     2:SIGN457 —>§287
P256  -  -   (20.5, 70.0)    IN:  772     2:SIGN433 —>§263
P272  -  -   (20.5, 66.0)    IN:  768     2:SIGN449 —>§279
P361  -  -   (23.0, 37.0)    IN:  973     2:M —>§368
P276  -  ^^  (14.0, 63.0)    IN:  141     2:SIGN453 —>§283
P257  -  vv  (21.0,  7.0)    IN:  787     2:SIGN434 —>§264
P281  -  ^^  (14.5, 52.0)    IN:  208     2:SIGN458 —>§288
P244  -  ^   (14.5, 50.0)    IN:  206     2:SIGN421 —>§251
P258  -  vv  (14.5, 62.0)    IN:  218     2:SIGN435 —>§265
P271  -  ^^  (20.5, 43.0)    IN:  745     2:SIGN448 —>§278
P193  -  vv  (14.0, 62.0)    IN:  140     2:BYPASS —>§200
P328  -  -   (14.5, 38.0)    IN:  194     2:THY_L1_SPGNULL —>§335
P261  -  ^^  (14.0, 47.0)    IN:  125     2:SIGN438 —>§268
P357  -  vv  (20.5, 46.0)    IN:  748     2:P12V —>§364
P330  >  ^   (14.5, 36.0)    IN:  192     2:U_START —>§337
P367  -  ^   (13.0, 49.0)    IN:   49     1:M —>§178
P219  >> -   (20.0,  8.0)    IN:  632     2:SIGN386 —>§226
P239  >> v   (20.0, 16.0)    IN:  640     2:SIGN412 —>§246
P237  -  -   (20.5, 26.0)    IN:  728     2:SIGN410 —>§244
P224  >> ^^  (20.0,  4.0)    IN:  628     2:SIGN391 —>§231
P338  << ^^  (20.5, 78.0)    IN:  780     2:SIGN408 —>§345
P233  >  v   (20.0, 77.0)    IN:  701     2:SIGN401 —>§240
P232  -  -   (20.5, 77.0)    IN:  779     2:SIGN400 —>§239
P250  >  -   (20.5, 57.0)    IN:  759     2:SIGN427 —>§257
P259  -  ^^  (20.0, 56.0)    IN:  680     2:SIGN436 —>§266
P252  -  -   (14.0, 56.0)    IN:  134     2:SIGN429 —>§259
P249  -  vv  (16.0, 56.0)    IN:  290     2:SIGN426 —>§256
P241  -  -   (20.5, 53.0)    IN:  755     2:SIGN418 —>§248
P248  >  ^^  (14.5, 63.0)    IN:  219     2:SIGN425 —>§255
P251  -  vv  (14.5, 51.0)    IN:  207     2:SIGN428 —>§258
P255  -  ^   (20.5, 31.0)    IN:  733     2:SIGN432 —>§262
P245  -  -   (20.0, 61.0)    IN:  685     2:SIGN422 —>§252
P247  -  ^^  (20.5, 50.0)    IN:  752     2:SIGN424 —>§254
P279  -  -   (20.0, 33.0)    IN:  657     2:SIGN456 —>§286
P242  -  vv  (20.5, 52.0)    IN:  754     2:SIGN419 —>§249
P253  -  -   (20.5, 38.0)    IN:  740     2:SIGN430 —>§260
P199  -  -   (20.0, 49.0)    IN:  673     2:P1V61 —>§206
P201  -  v   (20.0, 47.0)    IN:  671     2:P1V69 —>§208
P185  >  ^^  (****, ****)    IN:   **     2:ZOSC
P206  >> vv  (20.5, 32.0)    IN:  734     2:SIGN359 —>§213
P370  -  -   (13.0, 19.0)    IN:   19     2:M —>§370
P213  >  -   (20.0, 28.0)    IN:  652     2:SIGN376 —>§220
P339  << ^^  (21.0, 67.0)    IN:  847     2:SIGN408 —>§346
P347  >> ^   (20.5, 68.0)    IN:  770     2:SIGN547 —>§354
P278  -  -   (20.0, 69.0)    IN:  693     2:SIGN455 —>§285
P265  -  vv  (20.0, 57.0)    IN:  681     2:SIGN442 —>§272
P277  -  ^   (20.5, 56.0)    IN:  758     2:SIGN454 —>§284
P286  -  ^^  (20.0, 62.0)    IN:  686     2:SIGN514 —>§293
P285  -  v   (20.5, 69.0)    IN:  771     2:SIGN511 —>§292
P262  -  -   (20.0, 75.0)    IN:  699     2:SIGN439 —>§269
P267  -  vv  (14.0, 54.0)    IN:  132     2:SIGN444 —>§274
P269  -  -   (14.0, 53.0)    IN:  131     2:SIGN446 —>§276
P243  -  -   (14.5, 53.0)    IN:  209     2:SIGN420 —>§250
P254  -  ^^  (20.0, 73.0)    IN:  697     2:SIGN431 —>§261
P284  -  vv  (20.0, 66.0)    IN:  690     2:SIGN461 —>§291
P266  -  -   (20.5, 76.0)    IN:  778     2:SIGN443 —>§273
P283  -  ^^  (20.5, 41.0)    IN:  743     2:SIGN460 —>§290
P273  -  -   (20.0, 46.0)    IN:  670     2:SIGN450 —>§280
P263  -  -   (20.5, 49.0)    IN:  751     2:SIGN440 —>§270
P282  -  ^^  (20.0, 37.0)    IN:  661     2:SIGN459 —>§289
P353  -  vv  (20.0, 48.0)    IN:  672     2:P3V3 —>§360
P200  -  ^^  (20.0, 38.0)    IN:  662     2:P1V65 —>§207
P365  -  vv  (13.0, 17.0)    IN:   17     1:M —>§176
P314  -  ^   (14.5, 35.0)    IN:  191     2:SIGN545 —>§321
P311  -  v   (20.5, 42.0)    IN:  744     2:SIGN542 —>§318
P264  -  ^   (20.0, 43.0)    IN:  667     2:SIGN441 —>§271
P186  -  -   (****, ****)    IN:   **     2:ZOSC
P268  -  vv  (20.0, 45.0)    IN:  669     2:SIGN445 —>§275
P260  -  -   (20.0, 42.0)    IN:  666     2:SIGN437 —>§267
P332  >  ^   (20.5, 14.0)    IN:  716     2:VSPG_IMSG_2 —>§339
P331  >  -   (20.5,  5.0)    IN:  707     2:VSPG_IMSG_1 —>§338
P220  >  v   (20.5, 21.0)    IN:  723     2:SIGN387 —>§227
P322  -  -   (20.0, 12.0)    IN:  636     2:SIGN557 —>§329
P325  -  -   (20.0, 36.0)    IN:  660     2:STSPGMSG —>§332
P323  -  ^   (20.0,  5.0)    IN:  629     2:SIGN561 —>§330
P363  -  v   (23.0, 37.0)    IN:  973     2:M —>§368
